CTestTraceline, DT_TestTraceline
CTEWorldDecal, DT_TEWorldDecal
CTESpriteSpray, DT_TESpriteSpray
CTESprite, DT_TESprite
CTESparks, DT_TESparks
CTESmoke, DT_TESmoke
CTEShowLine, DT_TEShowLine
CTEProjectedDecal, DT_TEProjectedDecal
CTEPlayerDecal, DT_TEPlayerDecal
CTEPhysicsProp, DT_TEPhysicsProp
CTEParticleSystem, DT_TEParticleSystem
CTEMuzzleFlash, DT_TEMuzzleFlash
CTELargeFunnel, DT_TELargeFunnel
CTEKillPlayerAttachments, DT_TEKillPlayerAttachments
CTEImpact, DT_TEImpact
CTEGlowSprite, DT_TEGlowSprite
CTEShatterSurface, DT_TEShatterSurface
CTEFootprintDecal, DT_TEFootprintDecal
CTEFizz, DT_TEFizz
CTEExplosion, DT_TEExplosion
CTEEnergySplash, DT_TEEnergySplash
CTEEffectDispatch, DT_TEEffectDispatch
CTEDynamicLight, DT_TEDynamicLight
CTEDecal, DT_TEDecal
CTEClientProjectile, DT_TEClientProjectile
CTEBubbleTrail, DT_TEBubbleTrail
CTEBubbles, DT_TEBubbles
CTEBSPDecal, DT_TEBSPDecal
CTEBreakModel, DT_TEBreakModel
CTEBloodStream, DT_TEBloodStream
CTEBloodSprite, DT_TEBloodSprite
CTEBeamSpline, DT_TEBeamSpline
CTEBeamRingPoint, DT_TEBeamRingPoint
CTEBeamRing, DT_TEBeamRing
CTEBeamPoints, DT_TEBeamPoints
CTEBeamLaser, DT_TEBeamLaser
CTEBeamFollow, DT_TEBeamFollow
CTEBeamEnts, DT_TEBeamEnts
CTEBeamEntPoint, DT_TEBeamEntPoint
CTEBaseBeam, DT_BaseBeam
CTEArmorRicochet, DT_TEArmorRicochet
CTEMetalSparks, DT_TEMetalSparks
CSteamJet, DT_SteamJet
CSmokeStack, DT_SmokeStack
DustTrail, DT_DustTrail
CFireTrail, DT_FireTrail
SporeTrail, DT_SporeTrail
SporeExplosion, DT_SporeExplosion
RocketTrail, DT_RocketTrail
SmokeTrail, DT_SmokeTrail
CPropVehicleDriveable, DT_PropVehicleDriveable
ParticleSmokeGrenade, DT_ParticleSmokeGrenade
CParticleFire, DT_ParticleFire
MovieExplosion, DT_MovieExplosion
CTEGaussExplosion, DT_TEGaussExplosion
CEnvQuadraticBeam, DT_QuadraticBeam
CEmbers, DT_Embers
CEnvWind, DT_EnvWind
CPrecipitation, DT_Precipitation
CPrecipitationBlocker, DT_PrecipitationBlocker
CBaseTempEntity, DT_BaseTempEntity
NextBotCombatCharacter, DT_NextBot
CBaseAttributableItem, DT_BaseAttributableItem
CEconEntity, DT_EconEntity
CWeaponXM1014, DT_WeaponXM1014
CWeaponTaser, DT_WeaponTaser
CSmokeGrenade, DT_SmokeGrenade
CWeaponSG552, DT_WeaponSG552
CWeaponSawedoff, DT_WeaponSawedoff
CWeaponNOVA, DT_WeaponNOVA
CIncendiaryGrenade, DT_IncendiaryGrenade
CMolotovGrenade, DT_MolotovGrenade
CWeaponM3, DT_WeaponM3
CKnifeGG, DT_WeaponKnifeGG
CKnife, DT_WeaponKnife
CHEGrenade, DT_HEGrenade
CFlashbang, DT_Flashbang
CWeaponElite, DT_WeaponElite
CDecoyGrenade, DT_DecoyGrenade
CDEagle, DT_WeaponDEagle
CWeaponUSP, DT_WeaponUSP
CWeaponM249, DT_WeaponM249
CWeaponUMP45, DT_WeaponUMP45
CWeaponTMP, DT_WeaponTMP
CWeaponTec9, DT_WeaponTec9
CWeaponSSG08, DT_WeaponSSG08
CWeaponSG556, DT_WeaponSG556
CWeaponSG550, DT_WeaponSG550
CWeaponScout, DT_WeaponScout
CWeaponSCAR20, DT_WeaponSCAR20
CSCAR17, DT_WeaponSCAR17
CWeaponP90, DT_WeaponP90
CWeaponP250, DT_WeaponP250
CWeaponP228, DT_WeaponP228
CWeaponNegev, DT_WeaponNegev
CWeaponMP9, DT_WeaponMP9
CWeaponMP7, DT_WeaponMP7
CWeaponMP5Navy, DT_WeaponMP5Navy
CWeaponMag7, DT_WeaponMag7
CWeaponMAC10, DT_WeaponMAC10
CWeaponM4A1, DT_WeaponM4A1
CWeaponHKP2000, DT_WeaponHKP2000
CWeaponGlock, DT_WeaponGlock
CWeaponGalilAR, DT_WeaponGalilAR
CWeaponGalil, DT_WeaponGalil
CWeaponG3SG1, DT_WeaponG3SG1
CWeaponFiveSeven, DT_WeaponFiveSeven
CWeaponFamas, DT_WeaponFamas
CWeaponBizon, DT_WeaponBizon
CWeaponAWP, DT_WeaponAWP
CWeaponAug, DT_WeaponAug
CAK47, DT_WeaponAK47
CWeaponCSBaseGun, DT_WeaponCSBaseGun
CWeaponCSBase, DT_WeaponCSBase
CC4, DT_WeaponC4
CBaseCSGrenade, DT_BaseCSGrenade
CSmokeGrenadeProjectile, DT_SmokeGrenadeProjectile
CMolotovProjectile, DT_MolotovProjectile
CDecoyProjectile, DT_DecoyProjectile
CFireCrackerBlast, DT_FireCrackerBlast
CInferno, DT_Inferno
CChicken, DT_CChicken
CFootstepControl, DT_FootstepControl
CCSGameRulesProxy, DT_CSGameRulesProxy
CWeaponCubemap, DT_WeaponCubemap
CWeaponCycler, DT_WeaponCycler
CTEPlantBomb, DT_TEPlantBomb
CTEFireBullets, DT_TEFireBullets
CTERadioIcon, DT_TERadioIcon
CPlantedC4, DT_PlantedC4
CCSTeam, DT_CSTeam
CCSPlayerResource, DT_CSPlayerResource
CCSPlayer, DT_CSPlayer
CCSRagdoll, DT_CSRagdoll
CTEPlayerAnimEvent, DT_TEPlayerAnimEvent
CHostage, DT_CHostage
CHostageCarriableProp, DT_HostageCarriableProp
CBaseCSGrenadeProjectile, DT_BaseCSGrenadeProjectile
CHandleTest, DT_HandleTest
CTeamplayRoundBasedRulesProxy, DT_TeamplayRoundBasedRulesProxy
CSpriteTrail, DT_SpriteTrail
CSpriteOriented, DT_SpriteOriented
CSprite, DT_Sprite
CRagdollPropAttached, DT_Ragdoll_Attached
CRagdollProp, DT_Ragdoll
CPredictedViewModel, DT_PredictedViewModel
CPoseController, DT_PoseController
CGameRulesProxy, DT_GameRulesProxy
CInfoLadderDismount, DT_InfoLadderDismount
CFuncLadder, DT_FuncLadder
CTEFoundryHelpers, DT_TEFoundryHelpers
CEnvDetailController, DT_DetailController
CWorld, DT_World
CWaterLODControl, DT_WaterLODControl
CWaterBullet, DT_WaterBullet
CVoteController, DT_VoteController
CVGuiScreen, DT_VGuiScreen
CPropJeep, DT_PropJeep
CPropVehicleChoreoGeneric, DT_PropVehicleChoreoGeneric
CTriggerSoundOperator, DT_TriggerSoundOperator
CBaseVPhysicsTrigger, DT_BaseVPhysicsTrigger
CTriggerPlayerMovement, DT_TriggerPlayerMovement
CBaseTrigger, DT_BaseTrigger
CTest_ProxyToggle_Networkable, DT_ProxyToggle
CTesla, DT_Tesla
CBaseTeamObjectiveResource, DT_BaseTeamObjectiveResource
CTeam, DT_Team
CSunlightShadowControl, DT_SunlightShadowControl
CSun, DT_Sun
CParticlePerformanceMonitor, DT_ParticlePerformanceMonitor
CSpotlightEnd, DT_SpotlightEnd
CSpatialEntity, DT_SpatialEntity
CSlideshowDisplay, DT_SlideshowDisplay
CShadowControl, DT_ShadowControl
CSceneEntity, DT_SceneEntity
CRopeKeyframe, DT_RopeKeyframe
CRagdollManager, DT_RagdollManager
CPhysicsPropMultiplayer, DT_PhysicsPropMultiplayer
CPhysBoxMultiplayer, DT_PhysBoxMultiplayer
CPropDoorRotating, DT_PropDoorRotating
CBasePropDoor, DT_BasePropDoor
CDynamicProp, DT_DynamicProp
CProp_Hallucination, DT_Prop_Hallucination
CPostProcessController, DT_PostProcessController
CPointCommentaryNode, DT_PointCommentaryNode
CPointCamera, DT_PointCamera
CPlayerResource, DT_PlayerResource
CPlasma, DT_Plasma
CPhysMagnet, DT_PhysMagnet
CPhysicsProp, DT_PhysicsProp
CStatueProp, DT_StatueProp
CPhysBox, DT_PhysBox
CParticleSystem, DT_ParticleSystem
CMovieDisplay, DT_MovieDisplay
CMaterialModifyControl, DT_MaterialModifyControl
CLightGlow, DT_LightGlow
CInfoOverlayAccessor, DT_InfoOverlayAccessor
CFuncTrackTrain, DT_FuncTrackTrain
CFuncSmokeVolume, DT_FuncSmokeVolume
CFuncRotating, DT_FuncRotating
CFuncReflectiveGlass, DT_FuncReflectiveGlass
CFuncOccluder, DT_FuncOccluder
CFuncMoveLinear, DT_FuncMoveLinear
CFuncMonitor, DT_FuncMonitor
CFunc_LOD, DT_Func_LOD
CTEDust, DT_TEDust
CFunc_Dust, DT_Func_Dust
CFuncConveyor, DT_FuncConveyor
CFuncBrush, DT_FuncBrush
CBreakableSurface, DT_BreakableSurface
CFuncAreaPortalWindow, DT_FuncAreaPortalWindow
CFish, DT_CFish
CFireSmoke, DT_FireSmoke
CEnvTonemapController, DT_EnvTonemapController
CEnvScreenEffect, DT_EnvScreenEffect
CEnvScreenOverlay, DT_EnvScreenOverlay
CEnvProjectedTexture, DT_EnvProjectedTexture
